Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
PS4,2015,Shooter,505 Games,0.1,0.14,0.0,0.05,0.28,71.0,7.5,
PS2,2002,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28,76.0,8.9,E
SNES,1995,Platform,Laguna,0.03,0.01,0.23,0.01,0.28,71.0,7.5,
PS3,2011,Action,Ignition Entertainment,0.11,0.06,0.08,0.03,0.28,78.0,7.5,T
PS3,2010,Sports,Activision,0.18,0.06,0.0,0.04,0.28,56.0,6.7,E
Wii,2010,Misc,Disney Interactive Studios,0.18,0.08,0.0,0.02,0.28,71.0,7.5,E
DS,2007,Simulation,Activision,0.26,0.0,0.0,0.02,0.28,71.0,7.5,
XB,2004,Sports,Electronic Arts,0.21,0.06,0.0,0.01,0.28,80.0,7.8,E
PS,1995,Sports,Konami Digital Entertainment,0.16,0.11,0.0,0.02,0.28,71.0,7.5,
X360,2014,Shooter,Sega,0.15,0.1,0.0,0.02,0.28,71.0,8.2,M
Wii,2010,Action,Warner Bros. Interactive Entertainment,0.2,0.05,0.0,0.02,0.28,71.0,7.5,
GBA,2003,Racing,TDK Mediactive,0.2,0.07,0.0,0.01,0.28,71.0,7.5,E
PSP,2008,Action,Spike,0.06,0.0,0.2,0.01,0.28,70.0,7.5,T
3DS,2012,Misc,Activision,0.13,0.13,0.0,0.03,0.28,71.0,7.5,E
X360,2011,Sports,Activision,0.24,0.02,0.0,0.02,0.28,71.0,7.5,T
SNES,1992,Sports,Ocean,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
GC,2004,Action,THQ,0.22,0.06,0.0,0.01,0.28,65.0,7.5,E
XB,2001,Action,Konami Digital Entertainment,0.21,0.06,0.0,0.01,0.28,84.0,8.3,M
PS3,2014,Shooter,505 Games,0.1,0.13,0.0,0.05,0.28,71.0,6.4,M
WiiU,2014,Action,Nintendo,0.17,0.0,0.08,0.02,0.28,71.0,7.1,E
3DS,2014,Action,Activision,0.16,0.1,0.0,0.02,0.28,71.0,3.4,E10+
PS2,2007,Role-Playing,Tecmo Koei,0.14,0.11,0.0,0.04,0.28,71.0,7.5,
PS2,2001,Sports,THQ,0.14,0.11,0.0,0.04,0.28,57.0,5.8,E
PS2,2002,Sports,Midway Games,0.14,0.11,0.0,0.04,0.28,82.0,8.4,E
X360,2009,Platform,Capcom,0.12,0.12,0.01,0.03,0.28,70.0,7.3,M
X360,2010,Misc,Electronic Arts,0.16,0.09,0.0,0.02,0.28,66.0,6.6,E
PS3,2009,Misc,Electronic Arts,0.12,0.11,0.0,0.05,0.28,66.0,7.1,E
PS3,2011,Action,Sony Computer Entertainment,0.13,0.11,0.0,0.04,0.28,61.0,6.5,E10+
DS,2007,Strategy,Konami Digital Entertainment,0.13,0.02,0.12,0.01,0.28,71.0,7.5,
X360,2014,Action,Square Enix,0.14,0.11,0.0,0.02,0.28,71.0,7.5,
PS2,2000,Sports,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.28,54.0,7.5,E
PS2,2001,Shooter,Eidos Interactive,0.05,0.04,0.17,0.01,0.28,65.0,4.9,T
DS,2006,Platform,Warner Bros. Interactive Entertainment,0.2,0.05,0.0,0.02,0.28,71.0,7.5,E
SAT,1997,Strategy,Elf,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
PS4,2016,Action,Tecmo Koei,0.04,0.11,0.11,0.03,0.28,71.0,7.5,
X360,2011,Sports,505 Games,0.03,0.21,0.0,0.04,0.28,55.0,3.9,E
Wii,2009,Adventure,Ubisoft,0.12,0.13,0.0,0.03,0.28,71.0,7.5,M
PS,1998,Strategy,Activision,0.15,0.11,0.0,0.02,0.28,71.0,7.5,
PS2,2008,Action,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
XB,2005,Platform,Activision,0.21,0.06,0.0,0.01,0.28,71.0,7.5,E10+
Wii,2011,Misc,Ubisoft,0.21,0.04,0.0,0.02,0.28,71.0,7.5,E
X360,2007,Fighting,Sega,0.2,0.02,0.03,0.02,0.28,89.0,7.6,T
PS2,2009,Action,Activision,0.11,0.01,0.0,0.16,0.28,55.0,7.5,T
X360,2013,Strategy,Activision,0.16,0.1,0.0,0.02,0.28,59.0,5.6,E
SNES,1992,Racing,Video System,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
SAT,1994,Simulation,Sega,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
PS2,2003,Sports,Atari,0.14,0.11,0.0,0.04,0.28,71.0,8.5,T
DS,2006,Puzzle,Sega,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
GC,2003,Misc,Nintendo,0.0,0.0,0.27,0.01,0.28,71.0,7.5,
PS,1998,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.26,0.02,0.28,71.0,7.5,
GC,2001,Sports,Acclaim Entertainment,0.21,0.06,0.0,0.01,0.28,78.0,7.7,T
PS3,2014,Action,Namco Bandai Games,0.09,0.1,0.06,0.04,0.28,71.0,7.3,T
DS,2011,Simulation,Activision,0.26,0.0,0.0,0.02,0.28,71.0,7.5,E
PS,1998,Fighting,Electronic Arts,0.15,0.1,0.0,0.02,0.28,71.0,7.5,
PS2,2008,Action,THQ,0.14,0.11,0.0,0.04,0.28,71.0,7.5,E10+
XB,2005,Action,Activision,0.21,0.06,0.0,0.01,0.28,60.0,7.8,M
PS2,2003,Sports,Acclaim Entertainment,0.14,0.11,0.0,0.04,0.28,65.0,7.7,T
PS2,2008,Sports,Electronic Arts,0.14,0.11,0.0,0.04,0.28,55.0,7.5,E
Wii,2006,Adventure,THQ,0.23,0.02,0.0,0.02,0.28,56.0,5.8,E10+
GBA,2001,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.01,0.28,71.0,7.5,
GBA,2003,Platform,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.28,91.0,9.1,T
PS2,2002,Adventure,Ubisoft,0.14,0.11,0.0,0.04,0.28,57.0,7.0,E
DS,2009,Role-Playing,Atlus,0.13,0.0,0.14,0.01,0.28,80.0,8.7,M
SAT,1996,Shooter,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
PS,1997,Simulation,From Software,0.06,0.04,0.15,0.02,0.28,71.0,7.5,
PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28,58.0,6.7,M
GB,2000,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
3DS,2012,Misc,Nippon Columbia,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
SNES,1995,Misc,Nichibutsu,0.0,0.0,0.28,0.0,0.28,71.0,7.5,
X360,2006,Sports,Electronic Arts,0.24,0.01,0.0,0.02,0.28,71.0,7.5,
PSP,2011,Misc,Sony Computer Entertainment,0.05,0.03,0.17,0.02,0.27,74.0,7.2,E
Wii,2009,Action,Activision,0.11,0.14,0.0,0.03,0.27,75.0,8.3,E10+
3DS,2016,Adventure,Capcom,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PS2,2007,Sports,Activision Value,0.13,0.11,0.0,0.04,0.27,71.0,7.5,T
DS,2007,Misc,Nintendo,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PS2,2000,Sports,Take-Two Interactive,0.13,0.1,0.0,0.04,0.27,65.0,7.5,E
2600,1982,Action,Coleco,0.26,0.02,0.0,0.0,0.27,71.0,7.5,
XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.27,65.0,6.5,M
PS3,2009,Misc,Activision,0.14,0.09,0.0,0.04,0.27,59.0,4.7,T
PS,1996,Fighting,Tomy Corporation,0.0,0.0,0.26,0.02,0.27,71.0,7.5,
GC,2004,Fighting,Atari,0.21,0.06,0.0,0.01,0.27,66.0,5.8,T
DS,2006,Platform,Activision,0.24,0.01,0.0,0.02,0.27,71.0,6.4,E
GBA,2002,Racing,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.27,69.0,7.5,E
PS,1998,Action,Capcom,0.0,0.0,0.26,0.02,0.27,71.0,7.5,
PS,1997,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27,71.0,7.5,
GBA,2001,Puzzle,Unknown,0.2,0.07,0.0,0.0,0.27,71.0,7.5,
PS3,2008,Action,Sony Computer Entertainment,0.0,0.17,0.09,0.01,0.27,78.0,8.1,M
PSP,2011,Sports,Take-Two Interactive,0.22,0.03,0.0,0.03,0.27,71.0,5.0,E
PS2,2004,Role-Playing,Square Enix,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PS,2001,Action,Conspiracy Entertainment,0.15,0.1,0.0,0.02,0.27,71.0,7.5,
XB,2001,Sports,Midway Games,0.2,0.06,0.0,0.01,0.27,79.0,8.7,E
X360,2013,Racing,Codemasters,0.08,0.16,0.0,0.03,0.27,78.0,5.8,E
PS2,2009,Misc,Electronic Arts,0.09,0.01,0.0,0.17,0.27,71.0,7.5,E
PS,2000,Adventure,THQ,0.15,0.1,0.0,0.02,0.27,51.0,6.0,M
Wii,2011,Action,Electronic Arts,0.11,0.12,0.01,0.03,0.27,64.0,3.6,E10+
PS,1997,Fighting,Namco Bandai Games,0.02,0.02,0.22,0.02,0.27,71.0,7.5,
PS,2000,Sports,Natsume,0.15,0.1,0.0,0.02,0.27,71.0,7.5,
WiiU,2013,Racing,Electronic Arts,0.13,0.12,0.0,0.02,0.27,71.0,7.5,
PS,2001,Sports,Acclaim Entertainment,0.15,0.1,0.0,0.02,0.27,67.0,8.1,E
PC,2014,Action,Bethesda Softworks,0.1,0.16,0.0,0.02,0.27,68.0,5.9,M
PC,2012,Action,Electronic Arts,0.09,0.16,0.0,0.02,0.27,71.0,8.0,M
X360,2008,Misc,Konami Digital Entertainment,0.25,0.0,0.0,0.02,0.27,38.0,5.1,T
X360,2011,Action,Capcom,0.17,0.08,0.0,0.02,0.27,72.0,7.5,M
Wii,2008,Simulation,Destineer,0.25,0.0,0.0,0.02,0.27,41.0,5.4,T
PS3,2015,Misc,Activision,0.11,0.12,0.0,0.04,0.27,71.0,5.1,T
2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27,71.0,7.5,
PS2,2004,Sports,Sony Computer Entertainment,0.13,0.1,0.0,0.03,0.27,61.0,7.2,E
PS,1996,Simulation,Microprose,0.15,0.1,0.0,0.02,0.27,71.0,7.5,
PSP,2009,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PSP,2006,Strategy,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PS2,2002,Racing,Codemasters,0.13,0.1,0.0,0.03,0.27,81.0,8.5,T
PS,2000,Sports,Eidos Interactive,0.15,0.1,0.0,0.02,0.27,57.0,7.5,E
DS,2010,Racing,THQ,0.17,0.08,0.0,0.02,0.27,71.0,7.5,E
GC,2003,Role-Playing,Nintendo,0.21,0.05,0.0,0.01,0.27,80.0,9.0,T
SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
SNES,1994,Sports,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
X360,2010,Action,Sega,0.15,0.09,0.0,0.03,0.27,41.0,5.9,T
PS2,2004,Action,Ubisoft,0.13,0.1,0.0,0.03,0.27,65.0,8.6,T
GBA,2002,Racing,Infogrames,0.19,0.07,0.0,0.0,0.27,78.0,7.5,E
DS,2010,Adventure,Activision,0.25,0.0,0.0,0.02,0.27,71.0,7.5,E
PSP,2007,Action,Take-Two Interactive,0.23,0.01,0.0,0.02,0.27,81.0,7.8,M
PSP,2010,Simulation,Sony Computer Entertainment,0.02,0.17,0.0,0.09,0.27,57.0,7.5,E
2600,1980,Misc,Activision,0.25,0.02,0.0,0.0,0.27,71.0,7.5,
PS2,2009,Action,Disney Interactive Studios,0.12,0.01,0.0,0.14,0.27,71.0,7.5,E10+
Wii,2010,Sports,Mastiff,0.25,0.0,0.0,0.02,0.27,71.0,7.5,T
XB,2004,Racing,Microsoft Game Studios,0.18,0.08,0.0,0.01,0.27,87.0,9.1,E
DS,2005,Puzzle,Namco Bandai Games,0.16,0.0,0.1,0.01,0.27,71.0,7.1,E
GB,1996,Role-Playing,ChunSoft,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
X360,2012,Racing,Codemasters,0.07,0.17,0.0,0.02,0.27,64.0,5.7,E
WiiU,2012,Misc,Nintendo,0.13,0.12,0.0,0.02,0.27,60.0,5.4,E10+
GBA,2006,Platform,Activision,0.19,0.07,0.0,0.0,0.27,49.0,7.5,E
PS2,2001,Racing,Eidos Interactive,0.13,0.1,0.0,0.03,0.27,62.0,7.5,E
PS4,2014,Adventure,Focus Home Interactive,0.09,0.14,0.0,0.04,0.27,71.0,7.5,
PS3,2014,Action,Capcom,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
GC,2005,Platform,Disney Interactive Studios,0.21,0.05,0.0,0.01,0.27,67.0,7.5,E10+
X360,2006,Sports,Electronic Arts,0.25,0.0,0.0,0.02,0.27,79.0,5.3,E10+
PC,2004,Strategy,Atari,0.01,0.22,0.0,0.04,0.27,81.0,5.0,E
GC,2002,Platform,Electronic Arts,0.21,0.05,0.0,0.01,0.27,69.0,8.7,E
GBA,2002,Fighting,THQ,0.19,0.07,0.0,0.0,0.27,73.0,7.5,E
GBA,2002,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.26,0.01,0.27,71.0,7.5,
GB,2000,Role-Playing,Imagineer,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PS2,2004,Role-Playing,Square Enix,0.13,0.1,0.0,0.03,0.27,67.0,8.4,T
XB,2005,Racing,Electronic Arts,0.2,0.06,0.0,0.01,0.27,79.0,5.9,E
PS2,2004,Shooter,THQ,0.13,0.1,0.0,0.03,0.27,70.0,8.5,M
XOne,2015,Action,Electronic Arts,0.16,0.09,0.0,0.02,0.27,60.0,4.3,E
X360,2008,Shooter,Sega,0.15,0.1,0.0,0.02,0.27,76.0,6.8,M
XB,2001,Sports,Electronic Arts,0.2,0.06,0.0,0.01,0.27,89.0,8.8,E
XOne,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0.0,0.02,0.27,69.0,6.8,E10+
X360,2013,Role-Playing,Square Enix,0.15,0.08,0.01,0.02,0.27,69.0,6.6,T
PSP,2006,Sports,Electronic Arts,0.2,0.04,0.0,0.03,0.27,78.0,7.5,E
N64,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
N64,1998,Sports,Acclaim Entertainment,0.25,0.02,0.0,0.0,0.27,71.0,7.5,
N64,1999,Action,Acclaim Entertainment,0.18,0.08,0.0,0.01,0.27,71.0,7.5,
N64,1999,Strategy,Nintendo,0.22,0.05,0.0,0.0,0.27,71.0,7.5,
N64,1997,Sports,Konami Digital Entertainment,0.25,0.02,0.0,0.0,0.27,71.0,7.5,
PS2,2005,Action,Capcom,0.13,0.1,0.0,0.03,0.27,75.0,8.3,M
3DS,2012,Misc,Sega,0.07,0.07,0.12,0.01,0.27,71.0,7.5,
Wii,2008,Adventure,Namco Bandai Games,0.0,0.07,0.19,0.01,0.27,71.0,7.5,
3DS,2012,Action,Nintendo,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PS3,2011,Racing,Activision,0.25,0.0,0.0,0.02,0.27,62.0,3.7,E
PS2,2007,Action,Electronic Arts,0.13,0.1,0.0,0.03,0.27,61.0,8.0,E10+
Wii,2010,Action,Activision,0.14,0.1,0.0,0.02,0.27,41.0,6.5,T
PS2,2007,Racing,THQ,0.13,0.1,0.0,0.03,0.27,71.0,6.4,T
DS,2010,Misc,Electronic Arts,0.15,0.09,0.0,0.02,0.27,71.0,7.5,
Wii,2010,Sports,Take-Two Interactive,0.23,0.02,0.0,0.02,0.27,62.0,5.8,E10+
XB,2005,Action,Activision,0.2,0.06,0.0,0.01,0.27,62.0,6.6,T
GBA,2001,Sports,Activision,0.19,0.07,0.0,0.0,0.27,71.0,7.5,E
PS3,2010,Sports,Activision,0.18,0.05,0.0,0.03,0.27,71.0,8.5,E
X360,2011,Misc,Activision,0.25,0.0,0.0,0.02,0.27,71.0,7.5,E10+
PS2,2000,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27,77.0,6.0,E
WiiU,2012,Role-Playing,Electronic Arts,0.14,0.11,0.0,0.02,0.27,71.0,7.5,
3DS,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0.0,0.02,0.27,68.0,6.8,T
SNES,1995,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PS3,2011,Action,Electronic Arts,0.11,0.09,0.04,0.03,0.27,77.0,8.1,M
PC,2010,Strategy,Ubisoft,0.04,0.19,0.0,0.04,0.27,76.0,8.1,T
DS,2007,Puzzle,THQ,0.25,0.0,0.0,0.02,0.27,71.0,7.5,
PS3,2016,Action,Warner Bros. Interactive Entertainment,0.1,0.12,0.0,0.04,0.27,71.0,5.5,E10+
SNES,1994,Simulation,Hect,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
GBA,2001,Role-Playing,Nintendo,0.0,0.0,0.26,0.01,0.27,71.0,7.5,
GC,2003,Sports,Electronic Arts,0.21,0.05,0.0,0.01,0.27,84.0,9.0,E
PS2,2001,Racing,Acclaim Entertainment,0.13,0.1,0.0,0.03,0.27,71.0,7.5,
XB,2002,Racing,Electronic Arts,0.2,0.06,0.0,0.01,0.27,84.0,7.5,E
PS,1999,Racing,Electronic Arts,0.15,0.1,0.0,0.02,0.27,71.0,7.5,
Wii,2007,Sports,Nintendo,0.0,0.22,0.05,0.0,0.27,71.0,7.5,
Wii,2010,Platform,D3Publisher,0.16,0.08,0.0,0.02,0.27,71.0,7.5,
X360,2009,Role-Playing,Square Enix,0.25,0.0,0.0,0.02,0.27,71.0,7.5,T
DS,2010,Strategy,Nintendo,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
GBA,2005,Misc,Zoo Digital Publishing,0.19,0.07,0.0,0.0,0.27,71.0,7.5,
PSP,2006,Sports,Electronic Arts,0.24,0.0,0.0,0.02,0.27,68.0,7.5,E
PSP,2012,Sports,Konami Digital Entertainment,0.0,0.07,0.18,0.03,0.27,71.0,7.5,E
PS,1999,Role-Playing,Activision,0.15,0.1,0.0,0.02,0.27,71.0,7.5,
PS2,2002,Shooter,BAM! Entertainment,0.13,0.1,0.0,0.03,0.27,56.0,7.0,M
PS2,2010,Action,Warner Bros. Interactive Entertainment,0.08,0.11,0.0,0.08,0.27,71.0,7.5,
DS,2010,Action,Konami Digital Entertainment,0.14,0.09,0.0,0.03,0.27,65.0,7.5,E
PS,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.02,0.27,71.0,7.5,
GC,2006,Simulation,Electronic Arts,0.21,0.05,0.0,0.01,0.27,66.0,7.3,T
DS,2009,Simulation,Electronic Arts,0.25,0.0,0.0,0.02,0.27,71.0,7.5,E
3DS,2014,Action,Unknown,0.15,0.09,0.0,0.02,0.27,69.0,7.6,E
Wii,2010,Puzzle,Storm City Games,0.25,0.0,0.0,0.02,0.27,71.0,7.5,E
PC,2011,Strategy,Kalypso Media,0.1,0.13,0.0,0.04,0.27,78.0,7.7,T
X360,2007,Sports,Take-Two Interactive,0.18,0.08,0.0,0.0,0.27,79.0,8.4,E
PS2,2003,Racing,Sega,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PS2,2003,Simulation,Konami Digital Entertainment,0.13,0.1,0.0,0.03,0.27,75.0,8.9,T
PS,1995,Shooter,GT Interactive,0.15,0.1,0.0,0.02,0.27,71.0,7.5,
PS,2000,Sports,Sony Computer Entertainment,0.15,0.1,0.0,0.02,0.27,71.0,7.5,E
Wii,2011,Misc,Ubisoft,0.25,0.0,0.0,0.02,0.27,71.0,7.5,E
XB,2002,Sports,Electronic Arts,0.2,0.06,0.0,0.01,0.27,78.0,7.9,T
DS,2011,Misc,GameMill Entertainment,0.25,0.0,0.0,0.02,0.27,71.0,7.5,E
X360,2009,Sports,Activision Value,0.25,0.0,0.0,0.02,0.27,71.0,5.6,T
PS,1996,Fighting,Sony Computer Entertainment,0.06,0.04,0.14,0.02,0.27,71.0,7.5,
PS,1998,Role-Playing,Crave Entertainment,0.15,0.1,0.0,0.02,0.27,71.0,7.5,
SNES,1995,Puzzle,Banpresto,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
PS2,2005,Fighting,Namco Bandai Games,0.13,0.1,0.0,0.03,0.27,52.0,8.3,T
DS,2008,Misc,Nordic Games,0.25,0.0,0.0,0.02,0.27,71.0,7.5,E
X360,2010,Strategy,Ubisoft,0.12,0.11,0.0,0.02,0.27,78.0,7.0,T
PS2,2004,Strategy,Atari,0.13,0.1,0.0,0.03,0.27,66.0,8.3,E
PS3,2010,Role-Playing,Spike,0.24,0.0,0.0,0.02,0.27,71.0,7.5,
DS,2007,Puzzle,Mumbo Jumbo,0.25,0.0,0.0,0.02,0.27,71.0,7.5,E
X360,2007,Action,THQ,0.23,0.02,0.0,0.02,0.27,56.0,7.5,E
X360,2011,Sports,Ubisoft,0.14,0.1,0.0,0.03,0.27,41.0,7.4,E
PS2,2007,Adventure,Ubisoft,0.13,0.1,0.0,0.03,0.27,71.0,7.0,E
DS,2008,Puzzle,Majesco Entertainment,0.24,0.0,0.0,0.02,0.27,71.0,7.5,
Wii,2008,Misc,MTV Games,0.24,0.0,0.0,0.02,0.27,71.0,7.2,T
DS,2007,Misc,Electronic Arts,0.24,0.0,0.0,0.02,0.27,58.0,7.5,E10+
PS3,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27,71.0,7.5,
GBA,2003,Action,Majesco Entertainment,0.19,0.07,0.0,0.0,0.27,71.0,7.5,T
PS3,2006,Sports,Sony Computer Entertainment,0.24,0.0,0.01,0.02,0.27,63.0,6.3,E
X360,2011,Shooter,Ubisoft,0.14,0.1,0.0,0.03,0.27,47.0,5.7,M
DS,2008,Misc,Ubisoft,0.24,0.0,0.0,0.02,0.27,59.0,6.7,E
Wii,2009,Puzzle,THQ,0.25,0.0,0.0,0.02,0.27,71.0,7.5,E
DS,2005,Racing,Electronic Arts,0.24,0.01,0.0,0.02,0.27,45.0,6.1,E
PS2,2006,Action,Ubisoft,0.13,0.1,0.0,0.03,0.27,71.0,7.5,
X360,2009,Shooter,SouthPeak Games,0.15,0.09,0.0,0.02,0.27,69.0,7.3,T
Wii,2008,Sports,DTP Entertainment,0.23,0.03,0.0,0.0,0.27,71.0,7.5,
XB,2003,Sports,Sega,0.2,0.06,0.0,0.01,0.27,87.0,8.2,E
PS,1997,Sports,Tecmo Koei,0.0,0.0,0.25,0.02,0.27,71.0,7.5,
DS,2010,Misc,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.02,0.26,71.0,7.5,
PS2,2002,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26,46.0,8.4,T
PS3,2012,Action,Activision,0.12,0.1,0.0,0.04,0.26,40.0,6.4,M
X360,2007,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,75.0,6.8,E10+
GBA,2002,Role-Playing,Atari,0.19,0.07,0.0,0.0,0.26,71.0,7.5,
DS,2007,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.26,46.0,7.0,E
X360,2010,Strategy,PopCap Games,0.24,0.0,0.0,0.02,0.26,89.0,8.2,E10+
DS,2010,Adventure,THQ,0.19,0.06,0.0,0.02,0.26,71.0,7.5,
PS3,2013,Action,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
DC,1998,Shooter,Sega,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
PS4,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0.0,0.04,0.26,73.0,8.5,T
PS3,2010,Simulation,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
PS2,2001,Action,Take-Two Interactive,0.13,0.1,0.0,0.03,0.26,53.0,7.3,M
X360,2008,Action,Sega,0.22,0.02,0.0,0.02,0.26,55.0,6.4,T
XB,2002,Shooter,Sega,0.16,0.05,0.04,0.01,0.26,90.0,8.5,T
PS,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.02,0.26,71.0,7.5,
3DS,2013,Action,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
PS,1996,Role-Playing,From Software,0.08,0.06,0.11,0.02,0.26,71.0,7.5,
DS,2010,Simulation,Nintendo,0.25,0.0,0.0,0.02,0.26,87.0,5.6,E
PS,1996,Sports,Sony Computer Entertainment,0.15,0.1,0.0,0.02,0.26,71.0,7.5,
DS,2010,Strategy,Ubisoft,0.09,0.14,0.0,0.03,0.26,71.0,7.5,E10+
PS2,2007,Simulation,Ubisoft,0.13,0.1,0.0,0.03,0.26,71.0,7.5,E
PS2,2008,Shooter,Activision Value,0.13,0.1,0.0,0.03,0.26,71.0,8.3,E10+
DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.15,0.01,0.26,76.0,7.4,E10+
X360,2006,Action,Electronic Arts,0.23,0.01,0.0,0.02,0.26,51.0,6.2,T
DS,2009,Role-Playing,Atlus,0.13,0.0,0.12,0.01,0.26,84.0,8.8,T
Wii,2013,Strategy,Activision,0.15,0.09,0.0,0.02,0.26,71.0,2.8,E
PS,1997,Platform,Sony Computer Entertainment,0.15,0.1,0.0,0.02,0.26,71.0,7.5,
DS,2009,Simulation,Konami Digital Entertainment,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
PSP,2005,Role-Playing,Ubisoft,0.0,0.01,0.25,0.0,0.26,71.0,7.5,
DS,2007,Role-Playing,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
PS4,2015,Platform,Sony Computer Entertainment,0.09,0.13,0.0,0.04,0.26,81.0,8.1,E
PS2,2006,Sports,Midway Games,0.13,0.1,0.0,0.03,0.26,56.0,7.5,E10+
DS,2008,Role-Playing,Atlus,0.09,0.0,0.16,0.01,0.26,82.0,8.9,E10+
GEN,1994,Racing,Sega,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
GBA,2002,Action,THQ,0.19,0.07,0.0,0.0,0.26,71.0,7.5,
PS3,2008,Action,Sega,0.22,0.02,0.0,0.02,0.26,55.0,6.8,T
X360,2010,Action,Rising Star Games,0.18,0.06,0.0,0.02,0.26,68.0,8.2,M
DS,2009,Misc,Ubisoft,0.24,0.0,0.0,0.02,0.26,71.0,7.5,E
DS,2007,Misc,Nintendo,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
PS2,2008,Adventure,Disney Interactive Studios,0.09,0.02,0.0,0.16,0.26,71.0,7.5,E10+
Wii,2010,Action,THQ,0.21,0.04,0.0,0.02,0.26,49.0,7.5,E10+
3DS,2013,Sports,Level 5,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
PS2,2004,Racing,Take-Two Interactive,0.13,0.1,0.0,0.03,0.26,50.0,6.6,E
PS4,2015,Fighting,Namco Bandai Games,0.08,0.14,0.0,0.04,0.26,71.0,7.5,
PS3,2011,Action,Ubisoft,0.06,0.15,0.0,0.05,0.26,59.0,5.7,E10+
PC,2015,Shooter,Activision,0.0,0.25,0.0,0.01,0.26,71.0,7.5,
PS2,2007,Role-Playing,Sega,0.1,0.08,0.05,0.03,0.26,71.0,8.4,T
PS3,2013,Sports,Konami Digital Entertainment,0.0,0.0,0.26,0.0,0.26,71.0,7.5,
Wii,2010,Sports,Take-Two Interactive,0.24,0.0,0.0,0.02,0.26,53.0,7.5,E
GBA,2002,Action,THQ,0.19,0.07,0.0,0.0,0.26,55.0,7.5,E
