Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,6.5,M
PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,9.1,T
Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,9.0,T
3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,71.0,7.5,
PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,8.9,E
WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,9.1,E
GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,9.1,T
GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,71.0,7.5,
PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,8.6,E
PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,8.5,T
PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,71.0,7.5,
Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,7.3,E10+
X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,7.7,M
PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,8.3,T
Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,71.0,7.5,E
PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,8.4,M
PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,8.8,T
PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,71.0,7.5,
DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,7.4,E
NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,71.0,7.5,
PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,8.8,M
PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,4.3,E
PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,6.9,M
Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,8.6,E
XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,8.6,M
PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,6.4,M
GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,9.0,E
PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,8.8,E
GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,71.0,7.5,
X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,7.1,M
X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,9.0,M
GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,8.6,E
SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,71.0,7.5,
PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,7.3,T
PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,8.1,T
X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,7.8,M
X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,7.4,E10+
X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,8.3,M
PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,5.7,E
PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,8.7,M
GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,71.0,7.5,
PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,9.4,M
PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,8.7,M
PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,7.6,T
PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,9.1,M
PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,6.8,E
PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,9.2,M
DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,8.8,E10+
PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.9,T
PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,6.1,T
Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,8.9,E10+
DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,7.2,E
NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,71.0,7.5,
N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,71.0,7.5,
PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,8.6,M
X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,7.7,M
X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,8.0,E
GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,7.8,E
PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,8.7,T
